Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
asymmetric vfx studio,CAD,20.0,-50%,0%,Low,0.0,,,,,,,,70.0,30.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0
atomic fiction vfx,CAD,10.0,0%,-50%,Low,0.0,,,,,,,,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
audio video production services,CAD,20.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,50.0,20.0,30.0,10.0,30.0,10.0
audiovisual production agency,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
australian visual effects companies,CAD,10.0,0%,-50%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
autocad 3d animation,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0
automated video ads,CAD,50.0,-18%,1300%,Low,3.0,5.67,11.24,,,,,,10.0,10.0,10.0,30.0,10.0,10.0,20.0,20.0,50.0,170.0,210.0,140.0
av production house,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0
avatar 2 vfx studio,CAD,10.0,∞,∞,Low,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,10.0
avatar vfx studio,CAD,10.0,0%,0%,Low,2.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
avengers vfx company,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
average cost of commercial video production,CAD,10.0,0%,0%,Low,20.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
award winning video production company,CAD,30.0,0%,600%,Low,2.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,70.0,90.0,70.0
axiom vfx,CAD,10.0,0%,-67%,Low,0.0,,,,,,,,10.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
axis video hd,CAD,0.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
az video production company,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0,10.0
b productions videos,CAD,10.0,-100%,0%,Unknown,,,,,,,,,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
bahubali vfx company,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
bahubali vfx studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
best 3d animation companies,CAD,30.0,50%,200%,Low,20.0,3.77,8.26,,,,,,20.0,20.0,20.0,20.0,20.0,30.0,30.0,40.0,40.0,20.0,30.0,30.0
best 3d animation studios in the world,CAD,10.0,0%,0%,Medium,50.0,1.44,3.58,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
best 3d animation video,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
best 3d architectural visualization companies,CAD,20.0,200%,200%,Low,0.0,,,,,,,,10.0,40.0,10.0,20.0,20.0,30.0,30.0,10.0,10.0,10.0,40.0,30.0
best architectural animation,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
best brand launch videos,CAD,10.0,0%,0%,Low,13.0,,,,,,,,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0
best brand videos 2021,CAD,10.0,-100%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
best corporate film,CAD,20.0,100%,100%,Low,1.0,,,,,,,,10.0,10.0,10.0,10.0,30.0,10.0,70.0,20.0,20.0,10.0,20.0,20.0
best corporate promotional videos,CAD,10.0,0%,∞,Low,0.0,,,,,,,,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0
best corporate video production,CAD,10.0,0%,-67%,Low,0.0,,,,,,,,10.0,20.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0
best creative agency videos,CAD,20.0,100%,-50%,Low,0.0,,,,,,,,40.0,20.0,40.0,30.0,20.0,20.0,10.0,10.0,10.0,10.0,20.0,20.0
best explainer video production companies,CAD,30.0,150%,400%,Low,6.0,18.07,41.63,,,,,,20.0,10.0,20.0,10.0,10.0,10.0,70.0,50.0,40.0,20.0,70.0,50.0
best live action explainer videos,CAD,10.0,0%,0%,Low,30.0,2.52,15.36,,,,,,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
best marketing video production company,CAD,40.0,25%,150%,Low,3.0,,,,,,,,30.0,30.0,20.0,30.0,30.0,20.0,50.0,40.0,40.0,40.0,40.0,50.0
best media production companies,CAD,20.0,-40%,200%,Low,6.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,50.0,50.0,50.0,30.0
best music video production,CAD,10.0,100%,100%,Low,7.0,,,,,,,,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,20.0
best special effects companies,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
best tv commercial production companies,CAD,30.0,0%,-40%,Low,1.0,,,,,,,,50.0,40.0,20.0,30.0,20.0,30.0,30.0,50.0,30.0,30.0,30.0,30.0
best vfx companies in the world,CAD,20.0,-50%,-75%,Low,5.0,,,,,,,,30.0,20.0,30.0,20.0,20.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0
best vfx company in bollywood,CAD,10.0,0%,∞,Low,0.0,,,,,,,,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
best vfx company in world,CAD,20.0,-50%,-75%,Low,5.0,,,,,,,,30.0,20.0,30.0,20.0,20.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0
best vfx houses,CAD,10.0,0%,0%,Low,6.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
best vfx studio,CAD,30.0,-25%,0%,Low,4.0,,,,,,,,30.0,30.0,10.0,20.0,20.0,30.0,30.0,20.0,20.0,40.0,30.0,30.0
best vfx studio in the world,CAD,10.0,0%,0%,Low,1.0,,,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
best vfx studios in world,CAD,10.0,0%,0%,Low,1.0,,,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
best video animation services,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
best viral marketing videos,CAD,20.0,400%,400%,Low,11.0,3.03,15.08,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,50.0
best visual effects companies,CAD,50.0,-29%,0%,Low,6.0,,,,,,,,50.0,40.0,40.0,50.0,50.0,40.0,30.0,40.0,70.0,70.0,50.0,50.0
best visual effects companies in the world,CAD,10.0,0%,0%,Low,29.0,,,,,,,,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0
best visual effects studios,CAD,30.0,-25%,0%,Low,4.0,,,,,,,,30.0,30.0,10.0,20.0,20.0,30.0,30.0,20.0,20.0,40.0,30.0,30.0
big shoulders video production,CAD,260.0,52%,52%,Low,12.0,3.58,7.52,,,,,,210.0,210.0,210.0,210.0,260.0,260.0,210.0,260.0,210.0,210.0,260.0,320.0
big vfx companies,CAD,30.0,-20%,33%,Low,2.0,,,,,,,,30.0,40.0,30.0,30.0,30.0,40.0,30.0,30.0,20.0,50.0,40.0,40.0
biggest media production companies,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
biggest vfx companies in the world,CAD,30.0,-60%,-50%,Low,0.0,,,,,,,,40.0,30.0,40.0,20.0,30.0,20.0,30.0,20.0,30.0,50.0,30.0,20.0
biggest vfx studios,CAD,20.0,-33%,0%,Low,2.0,,,,,,,,20.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,20.0,30.0,30.0,20.0
biggest vfx studios in the world,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
biggest visual effects companies,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
black kite vfx,CAD,90.0,22%,57%,Low,4.0,5.38,9.74,,,,,,90.0,90.0,90.0,90.0,90.0,90.0,70.0,30.0,70.0,90.0,110.0,110.0
black panther vfx company,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0
blender animation studios,CAD,40.0,0%,-20%,Low,11.0,2.66,8.53,,,,,,40.0,40.0,30.0,50.0,30.0,50.0,50.0,40.0,30.0,40.0,70.0,40.0
bold content video production,CAD,110.0,0%,0%,Low,1.0,,,,,,,,110.0,90.0,90.0,70.0,110.0,140.0,110.0,90.0,140.0,110.0,110.0,110.0
bollywood vfx companies,CAD,10.0,0%,-100%,Unknown,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0
boutique vfx studio,CAD,10.0,0%,0%,Low,14.0,,,,,,,,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
boutique video production,CAD,10.0,0%,0%,Low,13.0,,,,,,,,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
boxel vfx,CAD,20.0,200%,50%,Low,2.0,,,,,,,,20.0,10.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0,10.0,20.0,30.0
brahmastra animation company,CAD,0.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brahmastra animation studio,CAD,0.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brahmastra vfx studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
brand awareness video ads,CAD,10.0,0%,∞,Medium,36.0,,,,,,,,0.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0
brand film production,CAD,40.0,57%,450%,Low,1.0,,,,,,,,20.0,30.0,20.0,10.0,10.0,20.0,20.0,20.0,20.0,70.0,110.0,110.0
brand manifesto video,CAD,20.0,-33%,-33%,Low,8.0,,,,,,,,20.0,50.0,20.0,20.0,10.0,20.0,20.0,10.0,20.0,30.0,30.0,20.0
brand marketing video production,CAD,90.0,27%,367%,Low,1.0,,,,,,,,50.0,30.0,110.0,50.0,50.0,50.0,140.0,140.0,110.0,110.0,170.0,140.0
brand video content,CAD,260.0,23%,127%,Low,4.0,4.04,31.68,,,,,,260.0,210.0,210.0,210.0,170.0,140.0,170.0,170.0,210.0,480.0,590.0,590.0
brand video production agency,CAD,40.0,40%,250%,Low,3.0,,,,,,,,30.0,10.0,30.0,30.0,10.0,20.0,70.0,40.0,50.0,50.0,90.0,70.0
brand video production company,CAD,140.0,24%,271%,Low,1.0,16.85,41.93,,,,,,70.0,50.0,70.0,70.0,70.0,70.0,170.0,110.0,170.0,210.0,320.0,260.0
brand youtube,CAD,880.0,0%,0%,Low,2.0,2.74,6.82,,,,,,880.0,880.0,880.0,880.0,880.0,1000.0,720.0,720.0,1000.0,880.0,1000.0,880.0
branded video content agency,CAD,110.0,24%,200%,Low,0.0,,,,,,,,90.0,50.0,70.0,90.0,50.0,40.0,90.0,110.0,110.0,170.0,210.0,210.0
briefing video production,CAD,10.0,-100%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0
broadcast video production,CAD,50.0,-36%,350%,Low,3.0,,,,,,,,20.0,30.0,20.0,30.0,20.0,30.0,20.0,30.0,90.0,140.0,90.0,90.0
broadcast2world pricing,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
broadway video productions,CAD,20.0,-33%,-33%,Low,3.0,,,,,,,,30.0,20.0,10.0,10.0,10.0,20.0,20.0,40.0,30.0,30.0,20.0,20.0
btl vfx studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
business promo video company,CAD,40.0,0%,-67%,Low,0.0,,,,,,,,20.0,40.0,50.0,50.0,50.0,40.0,70.0,50.0,40.0,10.0,40.0,10.0
business video company,CAD,50.0,143%,1600%,Low,4.0,6.76,16.13,,,,,,10.0,10.0,20.0,20.0,30.0,40.0,30.0,50.0,70.0,70.0,110.0,170.0
business video editing services,CAD,10.0,100%,300%,Low,0.0,,,,,,,,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,20.0,20.0,50.0,40.0
business video production companies,CAD,20.0,0%,400%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,50.0,50.0,50.0
butterfly vfx studio,CAD,10.0,0%,-100%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
canadian commercial production companies,CAD,10.0,-50%,0%,Low,13.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0
canadian vfx companies,CAD,110.0,-44%,-44%,Low,17.0,2.07,7.06,,,,,,110.0,110.0,90.0,320.0,110.0,70.0,110.0,70.0,140.0,90.0,90.0,50.0
candle video,CAD,1000.0,14%,0%,Low,1.0,0.99,5.6,,,,,,1000.0,1000.0,1000.0,1000.0,1000.0,1300.0,1000.0,1000.0,880.0,880.0,1000.0,1000.0
carolina video productions,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0
cg studios,CAD,90.0,29%,-18%,Low,1.0,,,,,,,,90.0,110.0,110.0,90.0,90.0,70.0,90.0,70.0,90.0,70.0,90.0,90.0
cgf visual effects studio,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
cgi 2d,CAD,90.0,29%,80%,Low,0.0,,,,,,,,90.0,140.0,90.0,110.0,70.0,70.0,90.0,90.0,90.0,70.0,90.0,90.0
cgi character design,CAD,10.0,0%,0%,Low,7.0,,,,,,,,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
character animation company,CAD,30.0,0%,300%,Low,7.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,40.0,70.0,50.0,40.0,70.0,40.0
character animation services,CAD,90.0,24%,950%,Low,3.0,5.35,22.6,,,,,,30.0,40.0,30.0,50.0,30.0,30.0,50.0,70.0,140.0,170.0,260.0,210.0
cinematic corporate video,CAD,20.0,350%,800%,Low,1.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,90.0
cinematic video production company,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
cinesite animation studio,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
cinesite ltd,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
cinesite studio,CAD,70.0,29%,29%,Low,1.0,,,,,,,,70.0,90.0,70.0,50.0,70.0,90.0,70.0,70.0,90.0,70.0,70.0,90.0
cinesite vfx,CAD,3600.0,-18%,24%,Low,3.0,,,,,,,,2900.0,2400.0,2900.0,2900.0,2900.0,2900.0,2900.0,3600.0,3600.0,4400.0,4400.0,3600.0
cinesite vfx limited,CAD,20.0,0%,200%,Low,2.0,,,,,,,,10.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,30.0,30.0,20.0,30.0
cinesite vimeo,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
cleaning animation,CAD,260.0,50%,22%,Low,0.0,,,,,,,,260.0,210.0,260.0,260.0,320.0,210.0,260.0,260.0,260.0,260.0,320.0,390.0
clum creative vimeo,CAD,10.0,∞,0%,Low,0.0,,,,,,,,10.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0
commercial photography production company,CAD,10.0,0%,-100%,Unknown,,,,,,,,,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commercial vfx studios,CAD,10.0,0%,100%,Low,18.0,2.32,5.69,,,,,,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0
commercial video companies near me,CAD,50.0,0%,75%,Low,6.0,3.62,41.93,,,,,,40.0,40.0,50.0,30.0,40.0,20.0,50.0,70.0,50.0,70.0,90.0,70.0
commercial video content,CAD,10.0,0%,0%,Low,14.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
commercial video production agency,CAD,70.0,22%,57%,Low,3.0,2.26,77.33,,,,,,40.0,70.0,70.0,30.0,20.0,20.0,70.0,50.0,70.0,90.0,110.0,110.0
commercial video production digital marketing services,CAD,10.0,0%,0%,Unknown,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
commercial video production la,CAD,30.0,467%,1600%,Low,0.0,,,,,,,,10.0,10.0,10.0,20.0,10.0,20.0,20.0,30.0,30.0,30.0,70.0,170.0
commercial video shoot,CAD,20.0,-33%,0%,Low,4.0,,,,,,,,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,40.0,30.0,20.0,20.0
commercial video studio,CAD,30.0,0%,-67%,Low,9.0,,,,,,,,20.0,70.0,170.0,50.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
company training video production,CAD,170.0,22%,333%,Low,4.0,8.08,37.19,,,,,,90.0,90.0,110.0,110.0,90.0,110.0,210.0,170.0,210.0,320.0,390.0,390.0
company video company,CAD,10.0,0%,0%,Low,24.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0
company video company video,CAD,10.0,0%,0%,Unknown,,,,,,,,,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
computer animation services,CAD,10.0,-50%,0%,Medium,37.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,40.0,20.0,20.0,20.0,30.0,10.0
comscore video metrix,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
concert video production companies,CAD,10.0,100%,100%,Low,20.0,2.85,10.08,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,20.0
corporate 3d animation,CAD,20.0,0%,0%,Low,7.0,,,,,,,,10.0,20.0,20.0,40.0,20.0,20.0,20.0,10.0,30.0,20.0,40.0,20.0
corporate brand films,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
corporate event video services,CAD,40.0,25%,150%,Low,0.0,,,,,,,,30.0,30.0,20.0,30.0,20.0,30.0,40.0,70.0,70.0,40.0,70.0,50.0
corporate film company,CAD,50.0,22%,267%,Low,1.0,,,,,,,,30.0,20.0,20.0,20.0,30.0,30.0,30.0,50.0,70.0,90.0,110.0,110.0
corporate film making company,CAD,10.0,0%,∞,Low,0.0,,,,,,,,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,20.0,10.0,30.0,10.0
corporate film production house,CAD,140.0,23%,540%,Low,2.0,2.91,17.25,,,,,,70.0,50.0,50.0,50.0,50.0,110.0,70.0,70.0,210.0,260.0,320.0,320.0
corporate film production services,CAD,70.0,27%,250%,Low,0.0,,,,,,,,30.0,30.0,20.0,30.0,40.0,40.0,40.0,50.0,70.0,110.0,140.0,140.0
corporate film services,CAD,40.0,56%,1300%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,90.0,140.0,140.0
corporate film video,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,0.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0
corporate marketing video production company,CAD,30.0,0%,50%,Low,4.0,,,,,,,,30.0,40.0,20.0,20.0,20.0,20.0,70.0,50.0,50.0,30.0,40.0,30.0
corporate promo video,CAD,20.0,100%,0%,Medium,35.0,4.3,15.3,,,,,,10.0,10.0,30.0,20.0,30.0,20.0,10.0,20.0,20.0,10.0,20.0,20.0
corporate promotional video production,CAD,390.0,51%,556%,Low,1.0,9.86,28.98,,,,,,110.0,170.0,590.0,1300.0,110.0,140.0,210.0,210.0,260.0,390.0,590.0,590.0
corporate video editing companies,CAD,10.0,-33%,100%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,40.0,20.0
corporate video experts,CAD,10.0,0%,0%,Low,0.0,,,,,,,,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
corporate video maker online,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
corporate video making companies,CAD,20.0,0%,0%,Low,0.0,,,,,,,,20.0,20.0,20.0,10.0,10.0,20.0,20.0,40.0,20.0,10.0,30.0,10.0
corporate video marketing company,CAD,40.0,0%,50%,Low,0.0,,,,,,,,40.0,30.0,40.0,40.0,50.0,30.0,50.0,50.0,40.0,30.0,50.0,30.0
corporate video packages,CAD,30.0,-60%,-50%,Low,13.0,,,,,,,,30.0,20.0,20.0,30.0,20.0,20.0,30.0,30.0,50.0,50.0,40.0,20.0
corporate video production company and 3d animation makers studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
corporate video production company near me,CAD,590.0,-33%,23%,Low,2.0,9.66,56.92,,,,,,170.0,480.0,390.0,480.0,480.0,720.0,590.0,590.0,1000.0,880.0,1000.0,590.0
corporate video production for business,CAD,70.0,56%,600%,Low,1.0,,,,,,,,20.0,30.0,20.0,30.0,30.0,30.0,70.0,50.0,70.0,90.0,170.0,140.0
corporate video production greater bristol,CAD,30.0,0%,0%,Low,0.0,,,,,,,,30.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,90.0,30.0,50.0,30.0
corporate video production maker company and 2d 3d animation studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corporate video production midlands,CAD,10.0,0%,-100%,Unknown,,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,0.0
corporate video production packages,CAD,20.0,-50%,0%,Low,0.0,,,,,,,,10.0,30.0,30.0,10.0,10.0,20.0,20.0,40.0,20.0,20.0,20.0,10.0
corporate video production studio,CAD,30.0,-67%,-50%,Low,11.0,,,,,,,,20.0,40.0,20.0,30.0,20.0,20.0,50.0,30.0,20.0,30.0,20.0,10.0
corporate video production training,CAD,30.0,0%,300%,Low,3.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,40.0,50.0,70.0,40.0,20.0,40.0
cosmetic advertisement video,CAD,10.0,0%,0%,Low,0.0,,,,,,,,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
crafty apes vfx,CAD,320.0,23%,52%,Low,4.0,3.42,8.94,,,,,,320.0,260.0,260.0,320.0,260.0,210.0,210.0,320.0,320.0,260.0,480.0,320.0
crafty apes visual effects,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
cravefx 2d 3d anim,CAD,0.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crazy egg explainer video,CAD,10.0,0%,0%,Medium,38.0,,,,,,,,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
creative corporate video production,CAD,20.0,40%,250%,Low,2.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,40.0,50.0,50.0,70.0
creative promotional video,CAD,10.0,200%,200%,Low,3.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0
creative vfx studio,CAD,10.0,∞,∞,Low,0.0,,,,,,,,0.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0
creative video production services,CAD,110.0,86%,420%,Low,0.0,,,,,,,,70.0,50.0,90.0,70.0,90.0,40.0,90.0,90.0,90.0,140.0,170.0,260.0
crunchyroll and funimation merger,CAD,70.0,150%,-90%,Low,1.0,,,,,,,,170.0,140.0,110.0,70.0,70.0,70.0,40.0,40.0,50.0,20.0,40.0,50.0
crunchyroll closed captioning,CAD,70.0,75%,-59%,Low,0.0,,,,,,,,110.0,110.0,70.0,70.0,50.0,50.0,70.0,50.0,50.0,40.0,50.0,70.0
crunchyroll mega,CAD,50.0,25%,25%,Medium,35.0,1.73,7.07,,,,,,40.0,50.0,50.0,40.0,30.0,70.0,170.0,40.0,50.0,40.0,50.0,50.0
