keyword,avg_monthly_searches,cpc_low,cpc_high,competition_score,competition_text,currency,cpc,search_intent
2d & 3d animation services,30.0,,,0.0,Low,CAD,,transactional
2d 3d animation services,110.0,7.14,29.65,3.0,Low,CAD,18.395,transactional
2d and 3d animation company,40.0,,,0.0,Low,CAD,,transactional
2d and 3d video animation services,20.0,9.24,29.65,19.0,Low,CAD,19.445,transactional
2d animation cost per second,20.0,4.63,29.53,11.0,Low,CAD,17.080000000000002,commercial
2d animation explainer video company,40.0,,,2.0,Low,CAD,,transactional
2d animation video companies,50.0,6.99,20.92,3.0,Low,CAD,13.955000000000002,commercial
2d flash animation,70.0,,,1.0,Low,CAD,,commercial
2d in 3d animation,590.0,2.66,12.91,4.0,Low,CAD,7.785,commercial
360 production house,40.0,,,6.0,Low,CAD,,informational
3d animation commercial,50.0,5.16,25.04,10.0,Low,CAD,15.1,commercial
3d animation design agency,20.0,,,0.0,Low,CAD,,transactional
3d animation design company,10.0,,,0.0,Low,CAD,,transactional
3d animation design studio,20.0,,,0.0,Low,CAD,,transactional
3d animation home design,10.0,,,43.0,Medium,CAD,,commercial
3d animation industrial3d,10.0,,,,Unknown,CAD,,commercial
3d animation logo design,10.0,,,34.0,Medium,CAD,,commercial
3d animation marketing,10.0,2.66,7.87,27.0,Low,CAD,5.265000000000001,commercial
3d animation of building,30.0,2.4,8.73,11.0,Low,CAD,5.565,commercial
3d animation of house,50.0,2.39,13.86,3.0,Low,CAD,8.125,commercial
3d animation per second cost,10.0,,,71.0,High,CAD,,commercial
3d animation vk,10.0,,,,Unknown,CAD,,commercial
3d animation walkthrough services,140.0,,,0.0,Low,CAD,,transactional
3d animation web design,10.0,3.84,9.22,17.0,Low,CAD,6.53,commercial
3d anime studio,1600.0,3.38,25.46,12.0,Low,CAD,14.42,transactional
3d anime video maker,140.0,1.61,4.79,51.0,Medium,CAD,3.2,informational
3d architectural animation company,10.0,,,11.0,Low,CAD,,transactional
3d architectural animation services,140.0,5.94,17.54,3.0,Low,CAD,11.74,transactional
3d architectural animation studio,10.0,,,0.0,Low,CAD,,transactional
3d architectural visualization walkthrough,70.0,,,0.0,Low,CAD,,informational
3d architectural walkthrough company,20.0,,,0.0,Low,CAD,,transactional
3d cgi animation company,10.0,,,0.0,Low,CAD,,transactional
3d cgi architectural visualisation,20.0,,,0.0,Low,CAD,,informational
3d cgi company,10.0,,,3.0,Low,CAD,,transactional
3d character animation services,70.0,,,1.0,Low,CAD,,transactional
3d corporate animation,20.0,,,7.0,Low,CAD,,commercial
3d flash animation,30.0,,,2.0,Low,CAD,,commercial
3d interior walkthrough,40.0,2.71,12.68,8.0,Low,CAD,7.695,informational
3d medical animation agency,30.0,,,1.0,Low,CAD,,transactional
3d medical animation services,30.0,14.58,44.52,4.0,Low,CAD,29.55,transactional
3d medical video,20.0,4.19,16.29,32.0,Low,CAD,10.24,informational
3d motion graphics animation,30.0,4.35,10.37,9.0,Low,CAD,7.359999999999999,commercial
3d production house,10.0,,,0.0,Low,CAD,,informational
3d rendering and animation services,70.0,17.85,38.2,4.0,Low,CAD,28.025,transactional
3d rendering services 3d animation services,20.0,,,,Unknown,CAD,,transactional
3d walkthrough animation company,20.0,,,0.0,Low,CAD,,transactional
3d walkthrough animation service,140.0,,,0.0,Low,CAD,,transactional
3d walkthrough architectural,70.0,4.02,6.42,3.0,Low,CAD,5.22,informational
4d vfx studio,10.0,,,,Unknown,CAD,,transactional
90 seconds production,10.0,,,24.0,Low,CAD,,informational
a&a video productions,20.0,2.08,4.91,12.0,Low,CAD,3.495,commercial
ab vfx studio,10.0,,,,Unknown,CAD,,transactional
ad agency video production,170.0,,,0.0,Low,CAD,,transactional
ad film companies,10.0,,,5.0,Low,CAD,,informational
ad film production companies,20.0,,,0.0,Low,CAD,,informational
ad film production services,10.0,,,0.0,Low,CAD,,transactional
ad for youtube canva,880.0,,,0.0,Low,CAD,,informational
ad video production company,90.0,,,0.0,Low,CAD,,transactional
adobe premiere pro commercial,10.0,,,10.0,Low,CAD,,informational
ads post production,10.0,2.1,5.09,16.0,Low,CAD,3.595,informational
advertising agency video production,170.0,,,0.0,Low,CAD,,transactional
advertising film production company,20.0,,,0.0,Low,CAD,,transactional
advertising video production company,260.0,,,0.0,Low,CAD,,transactional
advitha vfx,10.0,,,0.0,Low,CAD,,commercial
advitha vfx company,10.0,,,,Unknown,CAD,,transactional
affordable video marketing services,10.0,,,4.0,Low,CAD,,transactional
affordable video production services,70.0,,,0.0,Low,CAD,,transactional
after studio vfx,10.0,,,0.0,Low,CAD,,transactional
after vfx studio,10.0,,,,Unknown,CAD,,transactional
aia video productions,10.0,,,0.0,Low,CAD,,commercial
airbnb brand video,10.0,,,0.0,Low,CAD,,informational
all video company,50.0,,,0.0,Low,CAD,,transactional
alpha video productions,10.0,,,36.0,Medium,CAD,,commercial
alternate video production,10.0,,,0.0,Low,CAD,,commercial
amazon movie production,110.0,0.18,5.21,2.0,Low,CAD,2.695,informational
amazon prime production,320.0,0.2,0.24,10.0,Low,CAD,0.22,informational
amazon prime production company,10.0,,,0.0,Low,CAD,,transactional
ambulance vfx,10.0,,,,Unknown,CAD,,commercial
american vfx studios,10.0,,,0.0,Low,CAD,,transactional
american video productions,90.0,,,11.0,Low,CAD,,commercial
anibrain animation studio,10.0,,,,Unknown,CAD,,transactional
anibrain studio,10.0,,,4.0,Low,CAD,,transactional
anibrain vfx,20.0,,,5.0,Low,CAD,,commercial
anibrain vfx studio,10.0,,,,Unknown,CAD,,transactional
animal logic vfx,20.0,,,0.0,Low,CAD,,commercial
animated corporate video companies,20.0,,,0.0,Low,CAD,,informational
animated corporate video production,110.0,16.04,30.98,1.0,Low,CAD,23.51,commercial
animated explainer video studio,20.0,,,6.0,Low,CAD,,transactional
animated music video production company,50.0,,,1.0,Low,CAD,,transactional
animated social media video production,10.0,,,1.0,Low,CAD,,commercial
animated tv commercial production,20.0,,,0.0,Low,CAD,,informational
animated video production agency,90.0,,,1.0,Low,CAD,,transactional
animated video production for websites,30.0,,,0.0,Low,CAD,,commercial
animation 3d architecture,210.0,5.1,13.99,2.0,Low,CAD,9.545,commercial
animation house design,20.0,,,11.0,Low,CAD,,commercial
animation vfx studio,10.0,,,100.0,High,CAD,,transactional
animation video maker 3d,10.0,,,,Unknown,CAD,,commercial
animation video maker of cartoon in 3d,10.0,,,,Unknown,CAD,,commercial
animism vfx,10.0,,,0.0,Low,CAD,,commercial
annapurna studios vfx,10.0,,,,Unknown,CAD,,transactional
anthem video production,10.0,,,14.0,Low,CAD,,commercial
apple explainer video,10.0,,,0.0,Low,CAD,,informational
architectural 3d animation companies,20.0,,,1.0,Low,CAD,,commercial
architectural 3d animation services,40.0,,,1.0,Low,CAD,,transactional
architectural 3d rendering company,50.0,,,1.0,Low,CAD,,transactional
architectural 3d visualization company,260.0,5.49,21.54,3.0,Low,CAD,13.515,transactional
architectural 3d walkthrough animation,10.0,,,0.0,Low,CAD,,commercial
architectural 3d walkthrough service,10.0,,,0.0,Low,CAD,,transactional
architectural animation cost,10.0,,,,Unknown,CAD,,commercial
architectural animation studio,50.0,,,0.0,Low,CAD,,transactional
architectural animation walkthrough,10.0,,,21.0,Low,CAD,,commercial
architectural walkthrough companies,10.0,,,0.0,Low,CAD,,informational
artmonks film production house,10.0,,,,Unknown,CAD,,informational
assemblage vfx,10.0,,,4.0,Low,CAD,,commercial
asymmetric vfx studio,20.0,,,0.0,Low,CAD,,transactional
atomic fiction vfx,10.0,,,0.0,Low,CAD,,commercial
audio video production services,20.0,,,0.0,Low,CAD,,transactional
audiovisual production agency,10.0,,,0.0,Low,CAD,,transactional
australian visual effects companies,10.0,,,0.0,Low,CAD,,commercial
autocad 3d animation,10.0,,,0.0,Low,CAD,,commercial
automated video ads,50.0,5.67,11.24,3.0,Low,CAD,8.455,informational
av production house,10.0,,,,Unknown,CAD,,informational
avatar 2 vfx studio,10.0,,,0.0,Low,CAD,,transactional
avatar vfx studio,10.0,,,2.0,Low,CAD,,transactional
avengers vfx company,10.0,,,0.0,Low,CAD,,transactional
average cost of commercial video production,10.0,,,20.0,Low,CAD,,transactional
award winning video production company,30.0,,,2.0,Low,CAD,,transactional
axiom vfx,10.0,,,0.0,Low,CAD,,commercial
axis video hd,0.0,,,,Unknown,CAD,,informational
az video production company,10.0,,,0.0,Low,CAD,,transactional
b productions videos,10.0,,,,Unknown,CAD,,informational
bahubali vfx company,10.0,,,0.0,Low,CAD,,transactional
bahubali vfx studio,10.0,,,,Unknown,CAD,,transactional
best 3d animation companies,30.0,3.77,8.26,20.0,Low,CAD,6.015,commercial
best 3d animation studios in the world,10.0,1.44,3.58,50.0,Medium,CAD,2.51,transactional
best 3d animation video,10.0,,,0.0,Low,CAD,,commercial
best 3d architectural visualization companies,20.0,,,0.0,Low,CAD,,commercial
best architectural animation,10.0,,,,Unknown,CAD,,commercial
best brand launch videos,10.0,,,13.0,Low,CAD,,commercial
best brand videos 2021,10.0,,,,Unknown,CAD,,commercial
best corporate film,20.0,,,1.0,Low,CAD,,commercial
best corporate promotional videos,10.0,,,0.0,Low,CAD,,commercial
best corporate video production,10.0,,,0.0,Low,CAD,,commercial
best creative agency videos,20.0,,,0.0,Low,CAD,,transactional
best explainer video production companies,30.0,18.07,41.63,6.0,Low,CAD,29.85,commercial
best live action explainer videos,10.0,2.52,15.36,30.0,Low,CAD,8.94,commercial
best marketing video production company,40.0,,,3.0,Low,CAD,,transactional
best media production companies,20.0,,,6.0,Low,CAD,,commercial
best music video production,10.0,,,7.0,Low,CAD,,commercial
best special effects companies,10.0,,,0.0,Low,CAD,,commercial
best tv commercial production companies,30.0,,,1.0,Low,CAD,,commercial
best vfx companies in the world,20.0,,,5.0,Low,CAD,,commercial
best vfx company in bollywood,10.0,,,0.0,Low,CAD,,transactional
best vfx company in world,20.0,,,5.0,Low,CAD,,transactional
best vfx houses,10.0,,,6.0,Low,CAD,,commercial
best vfx studio,30.0,,,4.0,Low,CAD,,transactional
best vfx studio in the world,10.0,,,1.0,Low,CAD,,transactional
best vfx studios in world,10.0,,,1.0,Low,CAD,,transactional
best video animation services,10.0,,,0.0,Low,CAD,,transactional
best viral marketing videos,20.0,3.03,15.08,11.0,Low,CAD,9.055,commercial
best visual effects companies,50.0,,,6.0,Low,CAD,,commercial
best visual effects companies in the world,10.0,,,29.0,Low,CAD,,commercial
best visual effects studios,30.0,,,4.0,Low,CAD,,transactional
big shoulders video production,260.0,3.58,7.52,12.0,Low,CAD,5.55,commercial
big vfx companies,30.0,,,2.0,Low,CAD,,commercial
biggest media production companies,10.0,,,0.0,Low,CAD,,informational
biggest vfx companies in the world,30.0,,,0.0,Low,CAD,,commercial
biggest vfx studios,20.0,,,2.0,Low,CAD,,transactional
biggest vfx studios in the world,10.0,,,0.0,Low,CAD,,transactional
biggest visual effects companies,10.0,,,0.0,Low,CAD,,commercial
black kite vfx,90.0,5.38,9.74,4.0,Low,CAD,7.56,commercial
black panther vfx company,10.0,,,,Unknown,CAD,,transactional
blender animation studios,40.0,2.66,8.53,11.0,Low,CAD,5.595,transactional
bold content video production,110.0,,,1.0,Low,CAD,,commercial
bollywood vfx companies,10.0,,,,Unknown,CAD,,commercial
boutique vfx studio,10.0,,,14.0,Low,CAD,,transactional
boutique video production,10.0,,,13.0,Low,CAD,,commercial
boxel vfx,20.0,,,2.0,Low,CAD,,commercial
brahmastra animation company,0.0,,,,Unknown,CAD,,transactional
brahmastra animation studio,0.0,,,,Unknown,CAD,,transactional
brahmastra vfx studio,10.0,,,,Unknown,CAD,,transactional
brand awareness video ads,10.0,,,36.0,Medium,CAD,,informational
brand film production,40.0,,,1.0,Low,CAD,,informational
brand manifesto video,20.0,,,8.0,Low,CAD,,informational
brand marketing video production,90.0,,,1.0,Low,CAD,,commercial
brand video content,260.0,4.04,31.68,4.0,Low,CAD,17.86,informational
brand video production agency,40.0,,,3.0,Low,CAD,,transactional
brand video production company,140.0,16.85,41.93,1.0,Low,CAD,29.39,transactional
brand youtube,880.0,2.74,6.82,2.0,Low,CAD,4.78,informational
branded video content agency,110.0,,,0.0,Low,CAD,,transactional
briefing video production,10.0,,,,Unknown,CAD,,commercial
broadcast video production,50.0,,,3.0,Low,CAD,,commercial
broadcast2world pricing,10.0,,,,Unknown,CAD,,transactional
broadway video productions,20.0,,,3.0,Low,CAD,,commercial
btl vfx studio,10.0,,,,Unknown,CAD,,transactional
business promo video company,40.0,,,0.0,Low,CAD,,transactional
business video company,50.0,6.76,16.13,4.0,Low,CAD,11.445,transactional
business video editing services,10.0,,,0.0,Low,CAD,,transactional
business video production companies,20.0,,,0.0,Low,CAD,,commercial
butterfly vfx studio,10.0,,,,Unknown,CAD,,transactional
canadian commercial production companies,10.0,,,13.0,Low,CAD,,informational
canadian vfx companies,110.0,2.07,7.06,17.0,Low,CAD,4.565,commercial
candle video,1000.0,0.99,5.6,1.0,Low,CAD,3.295,informational
carolina video productions,10.0,,,0.0,Low,CAD,,commercial
cg studios,90.0,,,1.0,Low,CAD,,transactional
cgf visual effects studio,10.0,,,0.0,Low,CAD,,transactional
cgi 2d,90.0,,,0.0,Low,CAD,,informational
cgi character design,10.0,,,7.0,Low,CAD,,informational
character animation company,30.0,,,7.0,Low,CAD,,transactional
character animation services,90.0,5.35,22.6,3.0,Low,CAD,13.975,transactional
cinematic corporate video,20.0,,,1.0,Low,CAD,,informational
cinematic video production company,10.0,,,0.0,Low,CAD,,transactional
cinesite animation studio,10.0,,,0.0,Low,CAD,,transactional
cinesite ltd,10.0,,,0.0,Low,CAD,,informational
cinesite studio,70.0,,,1.0,Low,CAD,,transactional
cinesite vfx,3600.0,,,3.0,Low,CAD,,commercial
cinesite vfx limited,20.0,,,2.0,Low,CAD,,commercial
cinesite vimeo,10.0,,,0.0,Low,CAD,,informational
cleaning animation,260.0,,,0.0,Low,CAD,,commercial
clum creative vimeo,10.0,,,0.0,Low,CAD,,informational
commercial photography production company,10.0,,,,Unknown,CAD,,transactional
commercial vfx studios,10.0,2.32,5.69,18.0,Low,CAD,4.005,transactional
commercial video companies near me,50.0,3.62,41.93,6.0,Low,CAD,22.775,transactional
commercial video content,10.0,,,14.0,Low,CAD,,informational
commercial video production agency,70.0,2.26,77.33,3.0,Low,CAD,39.795,transactional
commercial video production digital marketing services,10.0,,,,Unknown,CAD,,transactional
commercial video production la,30.0,,,0.0,Low,CAD,,commercial
commercial video shoot,20.0,,,4.0,Low,CAD,,informational
commercial video studio,30.0,,,9.0,Low,CAD,,transactional
company training video production,170.0,8.08,37.19,4.0,Low,CAD,22.635,transactional
company video company,10.0,,,24.0,Low,CAD,,transactional
company video company video,10.0,,,,Unknown,CAD,,transactional
computer animation services,10.0,,,37.0,Medium,CAD,,transactional
comscore video metrix,10.0,,,0.0,Low,CAD,,informational
concert video production companies,10.0,2.85,10.08,20.0,Low,CAD,6.465,commercial
corporate 3d animation,20.0,,,7.0,Low,CAD,,commercial
corporate brand films,10.0,,,0.0,Low,CAD,,informational
corporate event video services,40.0,,,0.0,Low,CAD,,transactional
corporate film company,50.0,,,1.0,Low,CAD,,transactional
corporate film making company,10.0,,,0.0,Low,CAD,,transactional
corporate film production house,140.0,2.91,17.25,2.0,Low,CAD,10.08,informational
corporate film production services,70.0,,,0.0,Low,CAD,,transactional
corporate film services,40.0,,,0.0,Low,CAD,,transactional
corporate film video,10.0,,,0.0,Low,CAD,,informational
corporate marketing video production company,30.0,,,4.0,Low,CAD,,transactional
corporate promo video,20.0,4.3,15.3,35.0,Medium,CAD,9.8,informational
corporate promotional video production,390.0,9.86,28.98,1.0,Low,CAD,19.42,commercial
corporate video editing companies,10.0,,,0.0,Low,CAD,,informational
corporate video experts,10.0,,,0.0,Low,CAD,,informational
corporate video maker online,10.0,,,0.0,Low,CAD,,informational
corporate video making companies,20.0,,,0.0,Low,CAD,,informational
corporate video marketing company,40.0,,,0.0,Low,CAD,,transactional
corporate video packages,30.0,,,13.0,Low,CAD,,informational
corporate video production company and 3d animation makers studio,10.0,,,,Unknown,CAD,,transactional
corporate video production company near me,590.0,9.66,56.92,2.0,Low,CAD,33.29,transactional
corporate video production for business,70.0,,,1.0,Low,CAD,,commercial
corporate video production greater bristol,30.0,,,0.0,Low,CAD,,commercial
corporate video production maker company and 2d 3d animation studio,10.0,,,,Unknown,CAD,,transactional
corporate video production midlands,10.0,,,,Unknown,CAD,,commercial
corporate video production packages,20.0,,,0.0,Low,CAD,,commercial
corporate video production studio,30.0,,,11.0,Low,CAD,,transactional
corporate video production training,30.0,,,3.0,Low,CAD,,commercial
cosmetic advertisement video,10.0,,,0.0,Low,CAD,,informational
crafty apes vfx,320.0,3.42,8.94,4.0,Low,CAD,6.18,commercial
crafty apes visual effects,10.0,,,0.0,Low,CAD,,commercial
cravefx 2d 3d anim,0.0,,,,Unknown,CAD,,informational
crazy egg explainer video,10.0,,,38.0,Medium,CAD,,informational
creative corporate video production,20.0,,,2.0,Low,CAD,,commercial
creative promotional video,10.0,,,3.0,Low,CAD,,informational
creative vfx studio,10.0,,,0.0,Low,CAD,,transactional
creative video production services,110.0,,,0.0,Low,CAD,,transactional
crunchyroll and funimation merger,70.0,,,1.0,Low,CAD,,informational
crunchyroll closed captioning,70.0,,,0.0,Low,CAD,,informational
crunchyroll mega,50.0,1.73,7.07,35.0,Medium,CAD,4.4,informational
crunchyroll paywall,20.0,,,4.0,Low,CAD,,informational
crunchyroll rss,10.0,,,0.0,Low,CAD,,informational
crunchyroll unblocked,320.0,,,0.0,Low,CAD,,informational
crunchyroll x funimation,110.0,,,1.0,Low,CAD,,informational
custom brand video,10.0,,,0.0,Low,CAD,,informational
daz3d animate,10.0,,,6.0,Low,CAD,,informational
deepfake vfx studio,10.0,,,0.0,Low,CAD,,transactional
delivery animation,90.0,,,0.0,Low,CAD,,commercial
delta video productions,10.0,,,0.0,Low,CAD,,commercial
demo video production company,20.0,,,0.0,Low,CAD,,transactional
dexter studios vfx,10.0,,,0.0,Low,CAD,,transactional
dexter vfx,10.0,,,0.0,Low,CAD,,commercial
digikore vfx,10.0,,,0.0,Low,CAD,,commercial
digikore vfx studio,10.0,,,,Unknown,CAD,,transactional
digital district vfx,10.0,,,13.0,Low,CAD,,commercial
digital domain vfx,50.0,,,0.0,Low,CAD,,commercial
digital marketing agency promotional video,40.0,,,0.0,Low,CAD,,transactional
digital marketing and video production,20.0,,,1.0,Low,CAD,,commercial
digital marketing video production services,90.0,15.62,97.83,3.0,Low,CAD,56.725,transactional
digital video brands,10.0,,,,Unknown,CAD,,informational
digital video in multimedia,10.0,,,14.0,Low,CAD,,informational
digital video marketing agency,140.0,4.91,15.29,2.0,Low,CAD,10.1,transactional
digital video production and marketing,20.0,,,0.0,Low,CAD,,commercial
digital video production companies,10.0,,,14.0,Low,CAD,,commercial
digital video production services,20.0,,,6.0,Low,CAD,,transactional
dneg company,20.0,,,1.0,Low,CAD,,transactional
dneg studio,90.0,,,3.0,Low,CAD,,transactional
dneg vfx,210.0,2.51,6.92,2.0,Low,CAD,4.715,commercial
dneg vfx company,10.0,,,0.0,Low,CAD,,transactional
dneg vimeo,10.0,,,0.0,Low,CAD,,informational
dneg virtual production,10.0,,,14.0,Low,CAD,,informational
dneg visual effects,20.0,,,7.0,Low,CAD,,commercial
dneg xstudio,20.0,,,0.0,Low,CAD,,transactional
doctor strange vfx company,10.0,,,,Unknown,CAD,,transactional
double negative vfx,390.0,,,1.0,Low,CAD,,commercial
double negative vfx company,10.0,,,0.0,Low,CAD,,transactional
double negative visual effects,390.0,,,1.0,Low,CAD,,commercial
dream engine video production,10.0,,,25.0,Low,CAD,,commercial
dream works studio,1300.0,,,0.0,Low,CAD,,transactional
dreamtek tv,10.0,,,11.0,Low,CAD,,informational
drone video company marketing,20.0,,,0.0,Low,CAD,,transactional
dtm vfx studio,10.0,,,,Unknown,CAD,,transactional
dune special effects company,10.0,,,0.0,Low,CAD,,transactional
dune vfx studio,10.0,,,0.0,Low,CAD,,transactional
dvcpro hd,110.0,,,22.0,Low,CAD,,informational
e one production company,20.0,,,0.0,Low,CAD,,transactional
easy 3d visualisation,10.0,,,0.0,Low,CAD,,informational
educational production company,10.0,,,5.0,Low,CAD,,transactional
educational video production services,110.0,,,0.0,Low,CAD,,transactional
ellipse vfx studio,10.0,,,,Unknown,CAD,,transactional
epic video productions,10.0,,,17.0,Low,CAD,,commercial
escape studios vfx,10.0,,,16.0,Low,CAD,,transactional
escape vfx,10.0,,,16.0,Low,CAD,,commercial
estate agent video production,10.0,,,0.0,Low,CAD,,commercial
event filming company,40.0,2.13,16.81,6.0,Low,CAD,9.47,transactional
event video company,50.0,6.79,32.88,3.0,Low,CAD,19.835,transactional
event video production services,210.0,,,0.0,Low,CAD,,transactional
exceptional minds vfx,20.0,,,1.0,Low,CAD,,commercial
explainer production company,20.0,,,0.0,Low,CAD,,transactional
explanatory video companies,10.0,,,0.0,Low,CAD,,informational
fairlife video,50.0,,,0.0,Low,CAD,,informational
famous vfx companies,10.0,,,0.0,Low,CAD,,commercial
famous vfx studios,10.0,,,0.0,Low,CAD,,transactional
famulus vfx studios,0.0,,,,Unknown,CAD,,transactional
fbla digital video production,170.0,,,0.0,Low,CAD,,commercial
feather vfx studio,10.0,,,43.0,Medium,CAD,,transactional
film company video,10.0,,,,Unknown,CAD,,transactional
film studio video,10.0,,,0.0,Low,CAD,,transactional
film video company,30.0,,,1.0,Low,CAD,,transactional
film video production company,140.0,4.33,24.06,4.0,Low,CAD,14.195,transactional
filming corporate videos,30.0,4.6,17.46,8.0,Low,CAD,11.03,informational
fix studio vfx,10.0,,,0.0,Low,CAD,,transactional
focus vfx studio,10.0,,,,Unknown,CAD,,transactional
folk studio vfx,10.0,,,,Unknown,CAD,,transactional
folks vfx studio,10.0,,,0.0,Low,CAD,,transactional
foundry nuke studio,30.0,,,2.0,Low,CAD,,transactional
foundry vfx,50.0,,,2.0,Low,CAD,,commercial
fractal vfx studio,10.0,,,,Unknown,CAD,,transactional
frame x vfx studio,10.0,,,1.0,Low,CAD,,transactional
framestore post production,10.0,,,4.0,Low,CAD,,informational
framestore visual effects,390.0,2.87,13.98,3.0,Low,CAD,8.425,commercial
fruit videos,480.0,,,0.0,Low,CAD,,informational
full service film production company,30.0,4.33,9.06,3.0,Low,CAD,6.695,transactional
full service production agency,320.0,4.19,14.8,5.0,Low,CAD,9.495,transactional
full service production studio,10.0,,,0.0,Low,CAD,,transactional
funimation and crunchyroll merge 2021,10.0,,,,Unknown,CAD,,informational
funimation bought crunchyroll,50.0,,,0.0,Low,CAD,,informational
funimation joining crunchyroll,10.0,,,0.0,Low,CAD,,informational
funimation merge with crunchyroll,30.0,,,0.0,Low,CAD,,informational
funimation move to crunchyroll,10.0,,,0.0,Low,CAD,,informational
funimation moving to crunchyroll,10.0,,,0.0,Low,CAD,,informational
funimation x crunchyroll,10.0,,,0.0,Low,CAD,,informational
gener8 vfx studio,10.0,,,,Unknown,CAD,,transactional
george lucas vfx company,10.0,,,0.0,Low,CAD,,transactional
ghost vfx studio,10.0,,,,Unknown,CAD,,transactional
giant video productions,10.0,,,10.0,Low,CAD,,commercial
global video production company,20.0,,,50.0,Medium,CAD,,transactional
global video production service,50.0,,,0.0,Low,CAD,,transactional
goobe video production,10.0,,,0.0,Low,CAD,,commercial
got vfx company,10.0,,,14.0,Low,CAD,,transactional
great brand videos,90.0,1.69,13.28,14.0,Low,CAD,7.484999999999999,informational
harry potter vfx company,10.0,,,0.0,Low,CAD,,transactional
hd video company,10.0,,,86.0,High,CAD,,transactional
hero brand video,10.0,,,0.0,Low,CAD,,informational
hexart vfx & animation studios,0.0,,,,Unknown,CAD,,transactional
hibino vfx studio,10.0,,,0.0,Low,CAD,,transactional
high end video production company,10.0,,,0.0,Low,CAD,,transactional
hollywood digital vfx studios,10.0,,,0.0,Low,CAD,,transactional
hollywood vfx studios,10.0,,,0.0,Low,CAD,,transactional
home video companies,110.0,,,1.0,Low,CAD,,informational
home video production studio,10.0,,,24.0,Low,CAD,,transactional
horlicks advertisement video,0.0,,,,Unknown,CAD,,informational
houston production studios,10.0,,,19.0,Low,CAD,,transactional
hybride vfx,140.0,,,1.0,Low,CAD,,commercial
ih video productions,10.0,,,21.0,Low,CAD,,commercial
ilm vfx,480.0,,,0.0,Low,CAD,,commercial
ilm vfx company,10.0,,,,Unknown,CAD,,transactional
ilm vfx studio,10.0,,,0.0,Low,CAD,,transactional
ilm visual effects,480.0,,,0.0,Low,CAD,,commercial
imageworks vfx,10.0,,,0.0,Low,CAD,,commercial
in motion video productions,10.0,,,5.0,Low,CAD,,commercial
inception vfx company,10.0,,,0.0,Low,CAD,,transactional
independent video producer,10.0,,,21.0,Low,CAD,,informational
independent video production companies,20.0,,,1.0,Low,CAD,,commercial
indigo production house,10.0,,,,Unknown,CAD,,informational
industrial 3d animation company,20.0,,,1.0,Low,CAD,,transactional
industrial 3d animation rendering services,10.0,,,0.0,Low,CAD,,transactional
industrial 3d animation services,20.0,,,0.0,Low,CAD,,transactional
industrial animation services,20.0,,,0.0,Low,CAD,,transactional
infomercial video,70.0,9.49,38.77,8.0,Low,CAD,24.130000000000003,informational
ingenuity studios vfx,10.0,,,0.0,Low,CAD,,transactional
ingenuity vfx,140.0,,,1.0,Low,CAD,,commercial
innovative video productions,10.0,,,1.0,Low,CAD,,commercial
inspirational brand videos,10.0,,,0.0,Low,CAD,,informational
instructional video production companies,40.0,,,0.0,Low,CAD,,commercial
intelligent creatures vfx,10.0,,,0.0,Low,CAD,,commercial
interactive media production company,10.0,,,,Unknown,CAD,,transactional
internal communications video production,50.0,,,0.0,Low,CAD,,commercial
international video production companies,10.0,,,0.0,Low,CAD,,commercial
international video production company,10.0,,,21.0,Low,CAD,,transactional
jalf video production,10.0,,,3.0,Low,CAD,,commercial
japanese video company,10.0,,,0.0,Low,CAD,,transactional
jellyfish pictures animation,90.0,,,0.0,Low,CAD,,commercial
jellyfish pictures studio,30.0,,,0.0,Low,CAD,,transactional
jellyfish pictures vfx,40.0,,,0.0,Low,CAD,,commercial
jpl video productions,10.0,,,5.0,Low,CAD,,commercial
jtv video productions,10.0,,,,Unknown,CAD,,commercial
just vfx studios,10.0,,,0.0,Low,CAD,,transactional
justvfx,10.0,,,0.0,Low,CAD,,commercial
justvfx studios,10.0,,,0.0,Low,CAD,,transactional
kc video production,30.0,1.17,5.59,9.0,Low,CAD,3.38,commercial
kiki's delivery service japanese,201000.0,0.53,10.43,6.0,Low,CAD,5.48,transactional
kiki's delivery service reddit,260.0,,,0.0,Low,CAD,,transactional
kleem vfx studio,10.0,,,,Unknown,CAD,,transactional
korean 3d animation studios,10.0,,,,Unknown,CAD,,transactional
korean music video production companies,10.0,,,0.0,Low,CAD,,commercial
korean vfx companies,10.0,,,0.0,Low,CAD,,commercial
la vfx studios,10.0,,,11.0,Low,CAD,,transactional
largest vfx companies,10.0,,,3.0,Low,CAD,,commercial
largest video production companies,20.0,,,4.0,Low,CAD,,commercial
largest visual effects companies,10.0,,,0.0,Low,CAD,,commercial
leading vfx companies,10.0,,,0.0,Low,CAD,,commercial
legacy vfx,20.0,,,0.0,Low,CAD,,commercial
legend 3d vfx,10.0,,,0.0,Low,CAD,,commercial
lemonlight media pricing,10.0,,,0.0,Low,CAD,,transactional
lemonlight video agency,10.0,,,,Unknown,CAD,,transactional
lens studio vfx,10.0,,,12.0,Low,CAD,,transactional
life of pi vfx company,10.0,,,0.0,Low,CAD,,transactional
life of pi vfx studio,10.0,,,0.0,Low,CAD,,transactional
linear editing,320.0,,,0.0,Low,CAD,,informational
lion king mpc,10.0,,,0.0,Low,CAD,,informational
list of media production companies,10.0,,,21.0,Low,CAD,,informational
list of video production companies,20.0,,,6.0,Low,CAD,,commercial
